,context_id,no_datas
0,0,1
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,21,1
20,22,1
21,23,1
22,24,1
23,25,1
24,26,1
25,27,1
26,28,1
27,32,1
28,33,1
29,34,1
30,36,1
31,37,1
32,38,1
33,39,1
34,40,1
35,41,1
36,42,1
37,43,1
38,44,1
39,45,1
40,46,1
41,47,1
42,48,1
43,49,1
44,50,1
45,51,1
46,52,1
47,53,1
48,54,1
49,55,1
50,56,1
51,57,1
52,58,1
53,59,1
54,60,1
55,61,1
56,62,1
57,63,1
58,64,1
59,65,1
60,66,1
61,67,1
62,70,1
63,71,1
64,72,1
65,73,1
66,74,1
67,75,1
68,76,1
69,78,1
70,79,1
71,80,1
72,81,1
73,82,1
74,83,1
75,84,1
76,85,1
77,86,1
78,87,1
79,88,1
80,89,1
81,92,1
82,93,1
83,94,1
84,95,1
85,96,1
86,97,1
87,99,1
88,100,1
89,101,1
90,102,1
91,103,1
92,104,1
93,105,1
94,106,1
95,107,1
96,108,1
97,109,1
98,110,1
99,111,1
100,113,1
101,114,1
102,115,1
103,116,1
104,117,1
105,118,1
106,120,1
107,122,1
108,123,1
109,124,1
110,125,1
111,126,1
112,128,1
113,129,1
114,130,1
115,131,1
116,132,1
117,133,1
118,134,1
119,135,1
120,136,1
121,137,1
122,138,1
123,139,1
124,140,1
125,141,1
126,142,1
127,143,1
128,144,1
129,145,1
130,146,1
131,147,1
132,148,1
133,149,1
134,150,1
135,151,1
136,152,1
137,153,1
138,154,1
139,155,1
140,156,1
141,157,1
142,158,1
143,160,1
144,161,1
145,162,1
146,163,1
147,164,1
148,165,1
149,166,1
150,167,1
151,168,1
152,170,1
153,171,1
154,172,1
155,173,1
156,174,1
157,176,1
158,177,1
159,178,1
160,179,1
161,180,1
162,181,1
163,182,1
164,183,1
165,184,1
166,185,1
167,186,1
168,187,1
169,189,1
170,190,1
171,191,1
172,192,1
173,193,1
174,194,1
175,195,1
176,196,1
177,197,1
178,198,1
179,200,1
180,201,1
181,202,1
182,203,1
183,204,1
184,205,1
185,206,1
186,207,1
187,208,1
188,209,1
189,210,1
190,211,1
191,212,1
192,213,1
193,214,1
194,215,1
195,216,1
196,217,1
197,218,1
198,219,1
199,220,1
200,221,1
201,222,1
202,223,1
203,224,1
204,225,1
205,226,1
206,227,1
207,228,1
208,229,1
209,230,1
210,231,1
211,232,1
212,233,1
213,234,1
214,235,1
215,236,1
216,238,1
217,239,1
218,240,1
219,241,1
220,242,1
221,243,1
222,244,1
223,245,1
224,246,1
225,247,1
226,248,1
227,249,1
228,250,1
229,252,1
230,253,1
231,255,1
232,256,1
233,257,1
234,258,1
235,259,1
236,260,1
237,261,1
238,262,1
239,264,1
240,266,1
241,267,1
242,268,1
243,269,1
244,270,1
245,271,1
246,272,1
247,273,1
248,275,1
249,276,1
250,277,1
251,278,1
252,279,1
253,280,1
254,281,1
255,282,1
256,283,1
257,286,1
258,287,1
259,289,1
260,291,1
261,292,1
262,293,1
263,294,1
264,295,1
265,296,1
266,297,1
267,298,1
268,299,1
269,300,1
270,301,1
271,303,1
272,304,1
273,305,1
274,306,1
275,307,1
276,308,1
277,309,1
278,310,1
279,312,1
280,313,1
281,314,1
282,315,1
283,316,1
284,317,1
285,318,1
286,319,1
287,320,1
288,321,1
289,322,1
290,323,1
291,324,1
292,325,1
293,326,1
294,327,1
295,328,1
296,329,1
297,331,1
298,332,1
299,334,1
300,335,1
301,336,1
302,337,1
303,338,1
304,339,1
305,340,1
306,341,1
307,342,1
308,343,1
309,344,1
310,345,1
311,346,1
312,347,1
313,348,1
314,349,1
315,351,1
316,352,1
317,353,1
318,354,1
319,355,1
320,356,1
321,357,1
322,358,1
323,359,1
324,361,1
325,362,1
326,363,1
327,364,1
328,365,1
329,366,1
330,367,1
331,368,1
332,369,1
333,370,1
334,371,1
335,372,1
336,373,1
337,374,1
338,375,1
339,376,1
340,377,1
341,378,1
342,380,1
343,381,1
344,382,1
345,383,1
346,384,1
347,385,1
348,386,1
349,387,1
350,388,1
351,389,1
352,390,1
353,391,1
354,392,1
355,393,1
356,394,1
357,395,1
358,396,1
359,397,1
360,398,1
361,399,1
362,400,1
363,401,1
364,403,1
365,404,1
366,405,1
367,406,1
368,407,1
369,408,1
370,409,1
371,410,1
372,411,1
373,412,1
374,413,1
375,414,1
376,415,1
377,417,1
378,418,1
379,420,1
380,421,1
381,423,1
382,424,1
383,425,1
384,426,1
385,427,1
386,428,1
387,429,1
388,430,1
389,431,1
390,432,1
391,433,1
392,434,1
393,435,1
394,436,1
395,437,1
396,438,1
397,439,1
398,440,1
399,441,1
400,442,1
401,443,1
402,444,1
403,445,1
404,446,1
405,447,1
406,448,1
407,449,1
408,450,1
409,451,1
410,452,1
411,453,1
412,454,1
413,455,1
414,456,1
415,457,1
416,458,1
417,459,1
418,460,1
419,461,1
420,462,1
421,463,1
422,464,1
423,465,1
424,467,1
425,468,1
426,469,1
427,470,1
428,471,1
429,472,1
430,473,1
431,474,1
432,475,1
433,476,1
434,477,1
435,478,1
436,479,1
437,480,1
438,481,1
439,482,1
440,483,1
441,484,1
442,485,1
443,486,1
444,487,1
445,488,1
446,489,1
447,490,1
448,492,1
449,493,1
450,494,1
451,495,1
452,496,1
453,497,1
454,498,1
455,499,1
456,500,1
457,501,1
458,502,1
459,503,1
460,504,1
461,505,1
462,506,1
463,507,1
464,508,1
465,509,1
466,512,1
467,513,1
468,514,1
469,515,1
470,516,1
471,517,1
472,518,1
473,519,1
474,520,1
475,521,1
476,522,1
477,523,1
478,524,1
479,525,1
480,526,1
481,527,1
482,528,1
483,529,1
484,530,1
485,531,1
486,532,1
487,533,1
488,534,1
489,535,1
490,536,1
491,537,1
492,538,1
493,539,1
494,540,1
495,541,1
496,542,1
497,543,1
498,545,1
499,546,1
500,547,1
501,548,1
502,550,1
503,551,1
504,552,1
505,555,1
506,556,1
507,557,1
508,558,1
509,559,1
510,560,1
511,561,1
512,562,1
513,563,1
514,564,1
515,565,1
516,566,1
517,567,1
518,568,1
519,569,1
520,570,1
521,571,1
522,572,1
523,573,1
524,574,1
525,575,1
526,576,1
527,577,1
528,578,1
529,579,1
530,580,1
531,581,1
532,582,1
533,583,1
534,586,1
535,587,1
536,588,1
537,589,1
538,590,1
539,591,1
540,592,1
541,593,1
542,594,1
543,595,1
544,596,1
545,597,1
546,598,1
547,599,1
548,600,1
549,601,1
550,602,1
551,603,1
552,604,1
553,605,1
554,606,1
555,607,1
556,608,1
557,609,1
558,610,1
559,611,1
560,613,1
561,614,1
562,615,1
563,616,1
564,617,1
565,618,1
566,619,1
567,620,1
568,621,1
569,622,1
570,623,1
571,624,1
572,625,1
573,626,1
574,627,1
575,628,1
576,629,1
577,630,1
578,631,1
579,632,1
580,633,1
581,634,1
582,635,1
583,636,1
584,637,1
585,638,1
586,639,1
587,640,1
588,641,1
589,642,1
590,643,1
591,644,1
592,645,1
593,646,1
594,647,1
595,648,1
596,649,1
597,650,1
598,651,1
599,652,1
600,653,1
601,654,1
602,655,1
603,656,1
604,657,1
605,658,1
606,659,1
607,660,1
608,661,1
609,662,1
610,663,1
611,665,1
612,666,1
613,667,1
614,668,1
615,670,1
616,671,1
617,672,1
618,673,1
619,674,1
620,675,1
621,676,1
622,677,1
623,678,1
624,679,1
625,680,1
626,681,1
627,682,1
628,683,1
629,684,1
630,685,1
631,686,1
632,687,1
633,688,1
634,689,1
635,690,1
636,691,1
637,692,1
638,693,1
639,694,1
640,695,1
641,696,1
642,697,1
643,698,1
644,699,1
645,700,1
646,701,1
647,704,1
648,706,1
649,708,1
650,709,1
651,710,1
652,711,1
653,712,1
654,713,1
655,714,1
656,715,1
657,716,1
658,717,1
659,718,1
660,719,1
661,728,1
662,729,1
663,730,1
664,731,1
665,732,1
666,733,1
667,735,1
668,736,1
669,737,1
670,738,1
671,740,1
672,741,1
673,742,1
674,743,1
675,744,1
676,745,1
677,746,1
678,748,1
679,749,1
680,750,1
681,751,1
682,752,1
683,753,1
684,754,1
685,755,1
686,756,1
687,758,1
688,760,1
689,762,1
690,764,1
691,765,1
692,766,1
693,767,1
694,768,1
695,769,1
696,770,1
697,771,1
698,772,1
699,773,1
700,774,1
701,776,1
702,777,1
703,778,1
704,779,1
705,780,1
706,781,1
707,782,1
708,783,1
709,784,1
710,785,1
711,786,1
712,787,1
713,788,1
714,789,1
715,790,1
716,791,1
717,792,1
718,793,1
719,794,1
720,795,1
721,796,1
722,799,1
723,800,1
724,801,1
725,802,1
726,803,1
727,804,1
728,805,1
729,806,1
730,807,1
731,808,1
732,809,1
733,810,1
734,811,1
735,812,1
736,813,1
737,814,1
738,815,1
739,816,1
740,817,1
741,818,1
742,819,1
743,820,1
744,821,1
745,822,1
746,823,1
747,824,1
748,825,1
749,826,1
750,827,1
751,828,1
752,829,1
753,830,1
754,831,1
755,832,1
756,834,1
757,835,1
758,836,1
759,837,1
760,838,1
761,839,1
762,840,1
763,842,1
764,843,1
765,844,1
766,845,1
767,846,1
768,847,1
769,848,1
770,849,1
771,850,1
772,851,1
773,852,1
774,854,1
775,855,1
776,856,1
777,857,1
778,858,1
779,859,1
780,860,1
781,861,1
782,862,1
783,863,1
784,864,1
785,865,1
786,866,1
787,867,1
788,868,1
789,869,1
790,870,1
791,871,1
792,872,1
793,873,1
794,874,1
795,875,1
796,876,1
797,878,1
798,879,1
799,880,1
800,881,1
801,882,1
802,883,1
803,884,1
804,885,1
805,886,1
806,887,1
807,888,1
808,889,1
809,890,1
810,891,1
811,892,1
812,893,1
813,894,1
814,895,1
815,896,1
816,897,1
817,898,1
818,899,1
819,902,1
820,903,1
821,904,1
822,905,1
823,906,1
824,907,1
825,908,1
826,909,1
827,910,1
828,911,1
829,912,1
830,913,1
831,914,1
832,915,1
833,916,1
834,917,1
835,918,1
836,919,1
837,920,1
838,922,1
839,923,1
840,924,1
841,925,1
842,926,1
843,927,1
844,928,1
845,929,1
846,931,1
847,932,1
848,933,1
849,934,1
850,935,1
851,936,1
852,937,1
853,939,1
854,940,1
855,941,1
856,942,1
857,943,1
858,944,1
859,945,1
860,946,1
861,947,1
862,948,1
863,949,1
864,950,1
865,952,1
866,953,1
867,954,1
868,955,1
869,956,1
870,957,1
871,958,1
872,959,1
873,960,1
874,962,1
875,963,1
876,964,1
877,965,1
878,966,1
879,967,1
880,968,1
881,969,1
882,971,1
883,972,1
884,974,1
885,975,1
886,976,1
887,977,1
888,978,1
889,980,1
890,981,1
891,982,1
892,983,1
893,984,1
894,985,1
895,986,1
896,987,1
897,988,1
898,990,1
899,991,1
900,992,1
901,993,1
902,994,1
903,995,1
904,996,1
905,999,1
906,1000,1
907,1001,1
908,1002,1
909,1003,1
910,1004,1
911,1005,1
912,1006,1
913,1007,1
914,1008,1
915,1009,1
916,1010,1
917,1011,1
918,1012,1
919,1014,1
920,1015,1
921,1017,1
922,1018,1
923,1019,1
924,1020,1
925,1021,1
926,1022,1
927,1024,1
928,1025,1
929,1026,1
930,1027,1
931,1028,1
932,1029,1
933,1030,1
934,1031,1
935,1032,1
936,1033,1
937,1034,1
938,1035,1
939,1036,1
940,1037,1
941,1038,1
942,1039,1
943,1040,1
944,1041,1
945,1042,1
946,1043,1
947,1044,1
948,1045,1
949,1046,1
950,1047,1
951,1048,1
952,1049,1
953,1050,1
954,1051,1
955,1052,1
956,1053,1
957,1054,1
958,1055,1
959,1056,1
960,1057,1
961,1058,1
962,1060,1
963,1061,1
964,1062,1
965,1063,1
966,1064,1
967,1065,1
968,1066,1
969,1067,1
970,1068,1
971,1069,1
972,1070,1
973,1071,1
974,1072,1
975,1073,1
976,1074,1
977,1075,1
978,1076,1
979,1077,1
980,1078,1
981,1079,1
982,1080,1
983,1081,1
984,1082,1
985,1084,1
986,1085,1
987,1086,1
988,1087,1
989,1088,1
990,1089,1
991,1091,1
992,1092,1
993,1093,1
994,1094,1
995,1095,1
996,1096,1
997,1097,1
998,1098,1
999,1099,1
1000,1100,1
1001,1101,1
1002,1102,1
1003,1103,1
1004,1104,1
1005,1105,1
1006,1106,1
1007,1107,1
1008,1108,1
1009,1109,1
1010,1110,1
1011,1111,1
1012,1112,1
1013,1113,1
1014,1114,1
1015,1115,1
1016,1116,1
1017,1117,1
1018,1118,1
1019,1120,1
1020,1121,1
1021,1122,1
1022,1123,1
1023,1124,1
1024,1125,1
1025,1127,1
1026,1128,1
1027,1129,1
1028,1130,1
1029,1131,1
1030,1132,1
1031,1133,1
1032,1134,1
1033,1135,1
1034,1136,1
1035,1137,1
1036,1138,1
1037,1139,1
1038,1140,1
1039,1141,1
1040,1142,1
1041,1143,1
1042,1144,1
1043,1146,1
1044,1147,1
1045,1148,1
1046,1149,1
1047,1151,1
1048,1152,1
1049,1153,1
1050,1154,1
1051,1155,1
1052,1156,1
1053,1157,1
1054,1158,1
1055,1159,1
1056,1160,1
1057,1161,1
1058,1162,1
1059,1164,1
1060,1165,1
1061,1166,1
1062,1167,1
1063,1168,1
1064,1169,1
1065,1170,1
1066,1171,1
1067,1172,1
1068,1173,1
1069,1174,1
1070,1175,1
1071,1176,1
1072,1177,1
1073,1178,1
1074,1179,1
1075,1180,1
1076,1182,1
1077,1183,1
1078,1184,1
1079,1185,1
1080,1186,1
1081,1187,1
1082,1188,1
1083,1189,1
1084,1190,1
1085,1191,1
1086,1192,1
1087,1193,1
1088,1194,1
1089,1195,1
1090,1196,1
1091,1197,1
1092,1198,1
1093,1199,1
1094,1200,1
1095,1201,1
1096,1202,1
1097,1203,1
1098,1204,1
1099,1205,1
1100,1206,1
1101,1207,1
1102,1208,1
1103,1209,1
1104,1210,1
1105,1212,1
1106,1214,1
1107,1215,1
1108,1216,1
1109,1217,1
1110,1218,1
1111,1219,1
1112,1220,1
1113,1221,1
1114,1222,1
1115,1223,1
1116,1224,1
1117,1225,1
1118,1226,1
1119,1227,1
1120,1228,1
1121,1229,1
1122,1230,1
1123,1231,1
1124,1232,1
1125,1233,1
1126,1234,1
1127,1235,1
1128,1236,1
1129,1237,1
1130,1238,1
1131,1239,1
1132,1240,1
1133,1241,1
1134,1242,1
1135,1243,1
1136,1244,1
1137,1245,1
1138,1246,1
1139,1247,1
1140,1248,1
1141,1249,1
1142,1250,1
1143,1251,1
1144,1252,1
1145,1253,1
1146,1254,1
1147,1255,1
1148,1256,1
1149,1257,1
1150,1258,1
1151,1259,1
1152,1260,1
1153,1261,1
1154,1262,1
